case	density	dimensions	bytes	sha256	encodedAndPixelEqual
jpeg-0-true	xxhdpi	144x144	3994	0156bdda48f05a3a65d5228c96758a61679ac9c740f27ae1c697a7073e71b4c4	true
jpeg-0-true	xxxhdpi	192x192	6412	fc994c1564b682b1f51000aba9713ec7d680d0f984ea5c3f61663494a65c7490	true
jpeg-0-false	mdpi	48x48	550	e38e189e34032884b31e3d40b515ccd8257d233cdd69a36471b6a692cda91b42	true
jpeg-0-false	hdpi	72x72	694	9860d9151517014daad77e4f9c6dd523f40cc6bb0f4a3656987d6d3a51ee5176	true
jpeg-0-false	xhdpi	96x96	754	cc8b9d45116aac3fa371a587ae12c98561b176d6b01d25baa9a23c914159f16e	true
jpeg-0-false	xxhdpi	144x144	951	96ce0a7a26f9b436b389dd083f3bcd87b8c415356efd430ce1041c8139661f90	true
jpeg-0-false	xxxhdpi	192x192	1120	ed27db42384e6a24b398cf4ca350a53cfbf5a6c766a0962b869a9754d0c7bbea	true
jpeg-1-true	mdpi	48x48	937	499cccad907bb09c94a7583e795108e527f990bab6fc7c6bce97325a9e0c1176	true
jpeg-1-true	hdpi	72x72	1546	00eb69fd5d951908cf63894ba4e82f1564482099636481391e2701ff1427e2d2	true
jpeg-1-true	xhdpi	96x96	2200	c2b01db48850553f5f0d8e44b506e3e5e6bb415f9e856b1f05fb0164a03515db	true
jpeg-1-true	xxhdpi	144x144	4097	acd5048a4317319c9b21db55672a9ecc36120986d4cc7a4b5eb94520795e1f16	true
jpeg-1-true	xxxhdpi	192x192	6468	a9bcadf0ab1de8cc55176676a839b75396ec81b1e08cc0ff821531d75354cd20	true
jpeg-1-false	mdpi	48x48	549	5fabceb643d73d224c3800f6762030f5ca8eed6c7b8cf37019174b348b137f50	true
jpeg-1-false	hdpi	72x72	693	ad7fadac8b030a854d193b05681313e5a7ad4baa5475f2c946d403619b511ba8	true
jpeg-1-false	xhdpi	96x96	754	4ff43f2b117b396e261f55e16b559ade11d8484b31bb23b27ef0c3d709b56bfc	true
jpeg-1-false	xxhdpi	144x144	952	3e050dad14ebe5168fbd3548ad52f0b0425808a759581d217f64d749981da99f	true
jpeg-1-false	xxxhdpi	192x192	1121	98f37265a8dd4b15471cdd3c956d891baa52bba2fdb9f7ab592c8305ddab0d47	true
jpeg-2-true	mdpi	48x48	899	fdc224e8409bb3cd061ae0c7d8ae7e64d62a89a5e359e53ece3851fcee5839b2	true
jpeg-2-true	hdpi	72x72	1577	106ad6b3c98ee06c4d48aec77bd9ae86296a553be10f3901419941a7468af5be	true
jpeg-2-true	xhdpi	96x96	2191	5c41a9fb8ea4bc3b79b7582cb04303ca36e27da025f09245c84745589ee95e2e	true
jpeg-2-true	xxhdpi	144x144	4047	9a0253e162a15107d051824ca0b58801dd7efdc4f8cb4f9c67d7f8fc1ceb103d	true
jpeg-2-true	xxxhdpi	192x192	6463	8e14c2e606cfe731a963c3135b07bfbcadb2cf7d6de8acf9ee3ced6783d5cf62	true
jpeg-2-false	mdpi	48x48	549	ecde94f936c46ea8a9ea573877e6da0ec7e8f47ba09d2bd70e4a6c6196a5b0eb	true
jpeg-2-false	hdpi	72x72	694	01c3b9f1d0e79ede75e944ea5bc2cdf877f4c26d053f131be2ccbeb18b8474d1	true
jpeg-2-false	xhdpi	96x96	756	050c29f7ae78fb9cdcf2211599716b69b18a676f1748d4c7b7add606987b5c02	true
jpeg-2-false	xxhdpi	144x144	948	70fddbf0b6f641a7e06fdce860f7e1f1871bb347f22ab2830a1ebd9b4e10906d	true
jpeg-2-false	xxxhdpi	192x192	1122	c0779cdea2ca01f1b56a9926408cc27a312e276df7397cbea2d3460d9b4b739c	true
jpeg-3-true	mdpi	48x48	915	cdea868eb4dc167d5d96bee487cef888741dfd4ba54cf55632d138a3d883cb9a	true
jpeg-3-true	hdpi	72x72	1564	3bee4811b0a057beed9e917b23d41912b8d9e8e100390fad2949371b35c02e39	true
jpeg-3-true	xhdpi	96x96	2175	28c74d44b9462565c9e2f9fcb1dabfcef5bb45acc4da8e2edfc5067bea2586e9	true
jpeg-3-true	xxhdpi	144x144	3999	75ae4ed29b3b74cc0edc4600affe729d394917edbe433dacbb2a03eaa91b8e9e	true
jpeg-3-true	xxxhdpi	192x192	6507	d375d9494822536ccbf1bfc9f78ae25d13f4a341a5a0f9d302cdfa7df2f92193	true
jpeg-3-false	mdpi	48x48	549	0091d69479e580a931ad7be11024245841005ad82e3b2fa7a55fcf3497a6c30e	true
jpeg-3-false	hdpi	72x72	694	213c0154e15d1506db6366272a1bc845fd32e5e1470d88737442befcf58149dc	true
jpeg-3-false	xhdpi	96x96	756	c9b954d2d9992cceedb226949c1bc620b812f308cd00bb3ab5da04c075a42bfc	true
jpeg-3-false	xxhdpi	144x144	948	243235ff30e823f4700ace861f85d1d513a8a30b82ff5b929f928dcdb2296cd9	true
jpeg-3-false	xxxhdpi	192x192	1120	70f9a85864707bf895c201dcf08ec9794e9c2fe93604c0041ffdaab0a4aa4766	true
jpeg-4-true	mdpi	48x48	906	280b4a719b3f7082552cc42b16e3e3ac5440b303efdbeb0bb1b7469ae4c919a7	true
jpeg-4-true	hdpi	72x72	1571	ee6d8e0b2c614a5783791a150ef3982031ffca422cd259ebdf7957cf66c7321c	true
jpeg-4-true	xhdpi	96x96	2206	42a1ff4dc2c1dd3515cbed73ca81536501f5072476af423d631b0be85a07a729	true
jpeg-4-true	xxhdpi	144x144	4210	23c6c7063aaa30f06f79e5badb89cb477187863e1b560163773ca8fd3256bf81	true
jpeg-4-true	xxxhdpi	192x192	6383	7ce835cdbca19564efa0ede175fec1c11a0cb106934a620fadd76f817f393d0b	true
jpeg-4-false	mdpi	48x48	549	08a49b3ad2c3a6389cec103fcb3b0f514890fb759411a065b7bf4a7ae55e21cb	true
jpeg-4-false	hdpi	72x72	696	a85d97d32ee26a278d45be75c6ef90d50f64487b4ba1fcdeb5a650030b59478a	true
jpeg-4-false	xhdpi	96x96	754	a80782480d5f9c39b28d66f14e0aa447c90b03020ce58b7ed4217f6b20a8f07d	true
jpeg-4-false	xxhdpi	144x144	946	7f3151e2068165fbf4bc7354979845e85f607236c22678cc7227bcb47b6e95b2	true
jpeg-4-false	xxxhdpi	192x192	1116	689443f5df723e3df7deeabd5371868ff20f7bd560c437a93a42654882a756f8	true
jpeg-5-true	mdpi	48x48	930	ee6603a8f401b7b35cab0dc7568567e919736a86a25b6c0033fed9cfaaa02d00	true
jpeg-5-true	hdpi	72x72	1583	d3c818a48893e2bc56aa3b656134932146b4bcd8287b545f1b016c2b9b15c56b	true
jpeg-5-true	xhdpi	96x96	2188	85b396b973a84577593cd816d3fe1e7c040e3666cce615e886ef008e256e26e9	true
jpeg-5-true	xxhdpi	144x144	4191	7a34449698a82f51de7787c05f48d20d7596a40103eafa0bee2407385294504a	true
jpeg-5-true	xxxhdpi	192x192	6501	3ebde387891eb13c922ea19e2a118eb34833569d85986b69fb156f33253f728d	true
jpeg-5-false	mdpi	48x48	550	92463c066c0de16597e3fbefc01fdb40a38b29266a50b03b1d7f3d5a11806495	true
jpeg-5-false	hdpi	72x72	694	c9adb394df097129dc1bc459a8284f8792e277777c474084d5c03af09fe5def2	true
jpeg-5-false	xhdpi	96x96	755	02abaefad7a6570b08849735292feb65713349704e0d47e43d32aa5b4c85331f	true
jpeg-5-false	xxhdpi	144x144	946	ea2a0708bd3e2a363713b27c059384d3fc5b1909d47133d92f125f85268f1ec2	true
jpeg-5-false	xxxhdpi	192x192	1122	7ba32b95ca1518dd338226376c847ab1d9ee7c4afacd6994dbc811a636864240	true
default-png	mdpi	48x48	1762	9b3633a4242d66b8e55c9f799ceeb1969c4dcf333da9593fec644a8526222470	true
default-png	hdpi	72x72	2848	fc4193a475ae7a2536dfba4f301cdde8810b6d3d39ca5be29a76d93f96714415	true
default-png	xhdpi	96x96	4634	fce6e92b55df97dba6ad6a5f21e915fcc7599af11e895d581460b4259e178735	true
default-png	xxhdpi	144x144	8152	c94584a1848a999766b6de9c194c0d6b527a4cbf67030453c59a2139a8668fdf	true
default-png	xxxhdpi	192x192	13700	27f994f2521c76c4c86710132ebf1f87b04b417b6961a7d5b449bc54e1cf074b	true
default-jpg	mdpi	48x48	930	ee6603a8f401b7b35cab0dc7568567e919736a86a25b6c0033fed9cfaaa02d00	true
default-jpg	hdpi	72x72	1583	d3c818a48893e2bc56aa3b656134932146b4bcd8287b545f1b016c2b9b15c56b	true
default-jpg	xhdpi	96x96	2188	85b396b973a84577593cd816d3fe1e7c040e3666cce615e886ef008e256e26e9	true
default-jpg	xxhdpi	144x144	4191	7a34449698a82f51de7787c05f48d20d7596a40103eafa0bee2407385294504a	true
default-jpg	xxxhdpi	192x192	6501	3ebde387891eb13c922ea19e2a118eb34833569d85986b69fb156f33253f728d	true
lossy-jpg	mdpi	48x48	528	2d6895c97f41a709d49644db4a8d9b6d23b51e183f94323cbc8e297ffa7bc59d	true
lossy-jpg	hdpi	72x72	733	fc610f89e48bf55dc6769ff2e59304074b0d4ec8a1fafee605039745a24ff27d	true
lossy-jpg	xhdpi	96x96	929	2f52b476ab333b04061bb9c8be9b34c972cd84868afabdf28b62bcaa2a08c3b7	true
lossy-jpg	xxhdpi	144x144	1367	9fbe2841dc8b1a915d8afd89d4a612ead3980475e148c167232698fded419ff6	true
lossy-jpg	xxxhdpi	192x192	1918	c570d8752b0ae33882b5e2ef90bc5cfad818e14189aba47c7b4b18f3ab7e98d3	true
