package,name,composable,skippable,restartable,readonly,inline,isLambda,hasDefaults,defaultsGroup,groups,calls,
org.tool.kit.feature.settings.AboutLibrariesWindow,AboutLibrariesWindow,1,1,1,0,0,0,0,0,1,3,
org.tool.kit.feature.settings.SettingsScreen,SettingsScreen,1,1,1,0,0,0,0,0,1,1,
org.tool.kit.feature.settings.ApkSignatureSetUp,ApkSignatureSetUp,1,1,1,0,0,0,0,0,1,2,
org.tool.kit.feature.settings.KeyStore,KeyStore,1,1,1,0,0,0,0,0,1,2,
org.tool.kit.feature.settings.Conventional,Conventional,1,1,1,0,0,0,0,0,1,2,
org.tool.kit.feature.settings.DeveloperMode,DeveloperMode,1,1,1,0,0,0,0,0,1,2,
org.tool.kit.feature.settings.About,About,1,1,1,0,0,0,0,0,3,3,
org.tool.kit.feature.settings.VersionInfo,VersionInfo,1,1,1,0,0,0,0,0,1,2,
org.tool.kit.feature.settings.TextAbout,TextAbout,1,1,1,0,0,0,0,0,1,1,
org.tool.kit.feature.settings.ClickAbout,ClickAbout,1,1,1,0,0,0,0,0,1,2,
org.tool.kit.feature.settings.ExtensionsSwitch,ExtensionsSwitch,1,1,1,0,0,0,0,0,1,1,
org.tool.kit.feature.signature.ApkSigningRoute,ApkSigningRoute,1,1,1,0,0,0,0,0,1,7,
org.tool.kit.feature.signature.ApkSigningScreen,ApkSigningScreen,1,1,1,0,0,0,0,0,1,2,
org.tool.kit.feature.signature.SignatureBox,SignatureBox,1,1,1,0,0,0,0,0,1,2,
org.tool.kit.feature.signature.SignatureCard,SignatureCard,1,1,1,0,0,0,0,0,1,2,
org.tool.kit.feature.signature.SignatureApkPath,SignatureApkPath,1,1,1,0,0,0,0,0,1,2,
org.tool.kit.feature.signature.SignaturePolicy,SignaturePolicy,1,1,1,0,0,0,0,0,1,1,
org.tool.kit.feature.signature.SignatureAlisa,SignatureAlisa,1,1,1,0,0,0,0,0,1,2,
org.tool.kit.feature.signature.Signature,Signature,1,1,1,0,0,0,0,0,1,1,
org.tool.kit.feature.signature.SignatureInformationRoute,SignatureInformationRoute,1,1,1,0,0,0,0,0,1,6,
org.tool.kit.feature.signature.SignatureInformationScreen,SignatureInformationScreen,1,1,1,0,0,0,0,0,3,4,
org.tool.kit.feature.signature.SignatureLottie,SignatureLottie,1,1,1,0,0,0,0,0,1,1,
org.tool.kit.feature.signature.SignatureBox,SignatureBox,1,1,1,0,0,0,0,0,1,2,
org.tool.kit.feature.signature.SignatureList,SignatureList,1,1,1,0,0,0,0,0,1,2,
org.tool.kit.feature.signature.SignatureDialog,SignatureDialog,1,1,1,0,0,0,0,0,3,4,
org.tool.kit.feature.signature.SignatureListTop,SignatureListTop,1,1,1,0,0,0,0,0,1,3,
org.tool.kit.feature.signature.SignatureListCenter,SignatureListCenter,1,1,1,0,0,0,0,0,1,3,
org.tool.kit.feature.signature.SignatureListBottom,SignatureListBottom,1,1,1,0,0,0,0,0,1,3,
org.tool.kit.feature.ui.FileButton,FileButton,1,1,1,0,0,0,0,0,1,3,
org.tool.kit.feature.ui.FileInput,FileInput,1,1,1,0,0,0,0,0,1,1,
org.tool.kit.feature.ui.FileInput,FileInput,1,1,1,0,0,0,0,0,1,1,
org.tool.kit.feature.ui.FolderInput,FolderInput,1,1,1,0,0,0,0,0,1,1,
org.tool.kit.feature.ui.StringInput,StringInput,1,1,1,0,0,0,0,0,1,1,
org.tool.kit.feature.ui.IntInput,IntInput,1,1,1,0,0,0,0,0,1,2,
org.tool.kit.feature.ui.PasswordInput,PasswordInput,1,1,1,0,0,0,0,0,1,2,
